"gene_symbol","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"Tagln3",5.65304239111552,9.97906823526847,12.5951289330454,15.3830195155129,26.1012567187509,10.5660438504065,21.3073376171403,12.3323893332984,25.5705645173378,13.7166793477012,29.7173301791323,17.0334496273983,32.8452918961238,13.0284668240605
"Tal1",37.3100797813625,62.8681298821914,74.7310983360694,48.0719359859778,85.0707626388918,79.2453288780484,77.5587089263907,64.7450439998167,64.9918514815669,91.7962387115389,96.086034245861,102.20069776439,76.6390144242888,73.517777078627
"Tal2",0,0,0,0,0,1.05660438504065,3.40917401874245,0,0,0,1.98115534527548,0,1.09484306320413,0
"Taldo1",2213.73140036084,1733.36415246613,2017.73965507387,2238.22933950713,2106.46808852438,2245.28431821137,1940.67231016914,1761.47627643946,1705.76974134407,2166.1802077562,1704.78417460955,2007.94312078272,2258.66123939011,1914.25401836374
"Tamalin",445.459740419903,633.670832939548,680.136962384451,527.829857126036,799.471826163222,608.604125783412,710.812782907801,744.054156442338,869.399193589485,820.890502500888,869.727196575937,785.542618110605,832.080728035136,644.909107790994
"Tamm41",508.773815200397,446.064350116501,463.500744736071,630.703800136029,547.159677881963,630.792817869266,544.615549494106,522.071148442967,599.842825969215,504.351748323168,627.035666779691,557.093999578439,662.380053238496,481.12266771709
"Tanc1",1024.33128127013,1431.99629176103,1010.96901569244,840.297441034892,962.846358958367,894.943914129427,927.295333097946,869.433447997539,923.736643188827,999.207334021004,793.452715782831,1015.99517189305,697.415031261028,870.11546289261
"Tanc2",815.168712798859,1455.94605552567,911.887334752487,853.757583110966,783.037701562527,804.075937015931,797.746720385733,849.907164886483,789.491179472804,772.354560193638,771.660006984801,820.611484990542,801.42512226542,887.796953582407
"Tango2",184.289181950366,218.54159435238,225.872645532614,204.786447300265,224.277465138897,204.981250697885,212.221082666718,251.78628222151,197.106434821145,173.041185617154,222.879976343492,227.446650907025,208.020182008784,250.332683976591
"Tango6",247.60325673086,430.097840940071,310.67984701512,148.061562836812,243.611729375008,201.811437542763,281.256856546252,219.927609777155,175.797631056697,205.750190215518,171.369937366329,195.38368690251,212.3995542616,235.443007606236
"Tank",1003.98032866212,1050.79588517377,980.740706253135,1015.27928802385,983.147336406284,1020.67983594926,969.910008332227,1230.15583599652,1212.4709341971,1211.28829932008,1118.36219240801,979.924337387974,1030.24732247508,1183.72927144321
"Taok1",2881.92101099069,4024.55821928378,2886.803551454,2812.2082551797,2537.62218098967,2894.03941062633,2504.03831676633,2747.03972399222,2801.04225483671,2842.51801251593,2579.46425954868,2776.45228926592,2351.72289976246,2722.94956622864
"Taok2",1039.02919148703,1391.08211199643,1195.69757337711,1065.27410144927,1320.53024732643,959.396781616906,1129.28889370844,1131.49672133013,1304.09879038423,1169.08313209638,1444.26224670583,1185.32770054189,994.117501389346,1219.0922528228
"Taok3",811.776887364189,1257.36259764383,766.623514391363,671.08422636425,659.298410451412,470.188951343087,665.641227159463,495.350971554153,475.186323947194,706.936550996909,506.185190717886,621.219927587468,495.963907631469,683.994508263175
"Tap1",408.149660638541,249.476705881712,486.171976815552,451.876198268191,417.620107500014,352.905864603576,389.498131641325,803.660704886614,659.50747650967,791.346885444301,477.458438211392,512.00545644709,656.905837922475,400.160052453286
"Tap2",280.39090259933,185.610669175994,293.886341771059,417.264404358287,319.015359895844,455.396489952518,289.779791593108,578.594599553918,571.07594088721,719.598101164018,537.883676242294,506.995618321385,655.810994859271,355.491023342222
"Tapbp",2378.80023818141,2122.5478136416,2415.74572935811,2543.96685237795,2423.55002199661,2530.56750217235,2168.2346759202,3846.677772878,2750.96656599026,2961.74760992287,2355.59370553255,2560.02728223545,3040.37918651786,2279.05108943744
"Tapbpl",265.69299238243,248.478799058185,298.084718082074,270.164280241195,325.782352378483,199.698228772682,282.109150050938,346.334600443464,258.901965738045,328.145175164237,258.540772558451,240.472230033859,303.271528507543,281.973246263595
"Tapt1",628.618313892046,795.331738350897,535.712817285531,523.984102247158,458.222062395849,569.509763536908,431.26051337092,429.578228443229,392.081989265846,372.460600749118,417.033200180489,446.87756081292,433.557853028834,512.763230004094
"Tarbp1",433.023047159449,528.890616469229,450.905615803025,385.536926607542,419.553533923626,427.924775941462,398.873360192867,508.71105999856,375.034946254287,456.87093519651,446.750530359622,489.962168693987,492.679378441857,483.914482036532
"Tarbp2",461.288259115027,465.024579763511,585.253657755509,687.428684599483,625.463448038216,622.33998278894,671.607281692263,760.49734222007,639.264112933444,644.683929341957,772.650584657439,712.398981475306,783.907633254154,648.631526883582
"Tardbp",6524.74152782554,6961.39800092329,7333.72374008123,6890.63130423006,6289.43615600716,6238.19228927997,7649.33420455337,7782.76536842242,7207.70287332459,7230.80027459973,7740.37393399131,7693.10742583319,8008.77700733818,8194.90563233404
"Tarm1",12.4366932604542,0.997906823526847,3.35870104881211,17.305896954952,0,4.22641754016258,3.40917401874245,13.3600884444066,6.39264112933445,6.33077508355441,7.92462138110194,6.01180575084646,8.75874450563301,1.86120954629435
"Tars1",4019.31314008314,3756.12128375505,3602.20687485098,3338.1152348663,3808.85005451402,3427.62462507186,3339.28595135823,3244.44609376859,3309.2572246188,3622.25847697371,3121.31024648152,3645.15822026324,3334.89197051977,3638.66466300546
"Tars2",1370.2974756064,1287.29980234963,1293.09990379266,1665.21186255427,1452.00324413199,1436.98196365528,1560.54940707936,1413.08627777378,1623.73084685095,1276.70630851681,1603.7452520005,1467.88257083168,1703.57580634562,1420.10288382259
"Tars3",209.162568471274,273.426469646356,292.206991246653,193.249182663631,234.911310468758,175.396327916747,257.392638415055,287.755751110297,194.975554444701,152.993731185898,155.520694604125,199.391557403074,212.3995542616,290.348689221919
"Tas1r1",1.1306084782231,1.99581364705369,4.19837631101513,5.76863231831734,2.90013963541677,0,2.55688051405684,1.0276991111082,0,2.1102583611848,1.98115534527548,3.00590287542323,5.47421531602063,1.86120954629435
"Tas1r3",12.4366932604542,17.9623228234833,19.3125310306696,15.3830195155129,31.9015359895844,26.4151096260161,20.4550441124547,11.3046902221902,8.52352150577926,17.9371960700708,27.7361748338568,5.00983812570539,24.0865473904908,14.8896763703548
"Tas2r143",0,1.99581364705369,0.839675262203026,0,0,0,0,0,0,3.1653875417772,0,0,0,0
"Tasl",65.5752917369401,36.9225524704934,65.4946704518361,53.8405683042952,63.8030719791689,84.5283508032517,71.5926543935914,87.3544244441972,88.4315356224598,104.457788878648,114.907010025978,108.212503515236,107.294620194004,93.0604773147177
"Tasl2",153.762753038342,259.45577411698,106.638758299784,108.64257532831,61.8696455555577,195.471811232519,82.6724699545044,143.877875555148,143.834425410025,120.284726587534,102.029500281687,139.27349989461,81.0183866771053,104.227734592484
"Tasor",445.459740419903,603.733628233743,493.72905417538,456.683391866789,428.253952829876,571.622972306989,388.645838136639,458.353803554258,519.934811852535,384.067021735634,466.562083812376,395.777211930726,423.704265459997,431.80061474029
"Tasor2",615.051012153369,1383.09885740821,705.327220250542,516.292592489402,609.029323437521,525.132379365201,583.821050709645,684.447607998063,367.576864936731,467.422227002434,417.033200180489,492.96807156941,425.893951586405,706.329022818707
"Tasp1",377.623231726517,331.305065410913,322.435300685962,343.233622939882,305.481374930566,339.170007598047,323.019238275847,300.088140443595,216.284358209149,271.168199412247,245.66326281416,229.450586157307,245.244846157724,301.515946499685
"Tatdn1",470.333126940812,445.066443292974,510.52255941944,674.929981243129,464.022341666683,732.226838833168,633.25407398141,582.705395998351,713.844926109013,473.753002085988,591.374870564732,616.210089461762,667.854268554517,547.19560661054
"Tatdn2",1215.40411408984,1431.99629176103,1165.4692639378,948.940016363202,1280.89500564241,835.774068567151,1207.69989613951,1241.46052621871,1060.1129872813,1087.83818519077,1031.19135721589,1008.98139851706,1023.67826409586,1218.16164804965
"Tatdn3",175.244314124581,141.702768940812,178.011155587042,176.904724428398,226.210891562508,156.377448986016,161.083472385581,242.536990221536,247.182123667599,216.301482021442,279.342903683843,204.40139552878,256.193276789765,243.81845056456
"Tax1bp1",4348.32020724606,4159.2756404599,4290.74058985747,4095.72894600531,4485.54930277793,4074.26650871673,4114.87304062214,4701.72343332002,4552.62592427435,4676.33252838552,4278.30496812241,4145.14006520864,4286.31059244415,4506.91891635178
"Tax1bp3",334.660109554039,304.361581175688,288.848290197841,309.583267749697,337.382910920151,295.849227811381,371.599968042927,306.254335110244,344.137180795838,331.310562706014,442.788219669071,285.560773165207,321.883860582013,335.948323106131
"Tbata",0,0,0,0,1.93342642361118,0,1.70458700937122,3.08309733332461,1.06544018822241,0,7.92462138110194,1.00196762514108,1.09484306320413,5.58362863888306
"Tbc1d1",864.915485840675,1391.08211199643,1043.71635091836,706.657458993874,723.101482430581,658.264531880322,844.622863143442,759.469643108961,702.125084038567,867.316186446954,622.082778416502,712.398981475306,581.361666561391,915.715096776822
"Tbc1d10a",596.961276501799,613.712696469011,489.530677864364,608.590709582479,630.297014097244,584.302224927477,555.695365055019,499.461767998586,515.673051099645,450.540160112955,620.101623071226,519.019229823078,637.198662784801,595.587054814193
"Tbc1d10b",1029.98432366125,1233.41283387918,1331.724965854,1094.11726304086,1334.06423229171,935.094880760972,1356.8512594595,1313.39946399628,1117.64675744531,1337.90380099117,1024.25731350743,1102.16438765519,1153.96458861715,1324.25059218843
"Tbc1d10c",15.8285186951235,14.9686023529027,4.19837631101513,21.1516518338302,26.1012567187509,13.7358570055284,20.4550441124547,18.4985839999476,39.4212869642291,23.2128419730328,47.5477282866116,13.025579126834,19.7071751376743,8.37544295832459
"Tbc1d12",714.544558237002,685.561987762944,546.62859569417,689.351562038922,578.094500659742,602.264499473168,507.966928792625,497.40636977637,523.131132417202,597.203116215299,418.023777853127,421.828370184394,347.065251035708,453.204524522675
"Tbc1d13",645.577441065393,1136.61587199708,1116.76809873003,603.783515983881,674.765821840301,490.26443465886,907.692582490177,663.893625775899,638.198672745222,611.974924743593,593.356025910007,711.397013850165,538.66278709643,796.597685813983
"Tbc1d14",975.71511670654,1293.28724329079,937.077592618577,872.024918785638,768.537003385443,1036.52890172487,874.453135807438,900.264421330785,686.143481215231,717.487842802833,766.707118621612,830.631161241953,832.080728035136,1040.41613637854
"Tbc1d15",1568.15395929545,2205.37407999433,2110.94360917841,1083.54143712394,1532.24044071186,1256.30261381333,1643.22187703386,1886.85556799466,1289.18262774911,1679.7656555031,1428.41300394362,1617.1757469777,1374.02804432118,1819.33233150273
"Tbc1d16",304.133680642015,437.083188704759,360.220687485098,274.971473839793,428.253952829876,271.547326955446,455.124731502117,310.365131554677,295.126932137607,347.1375004149,381.372403965531,403.792952931854,312.030273013176,345.254370837603
"Tbc1d17",549.475720416429,537.871777880971,636.473848749894,567.248844634538,784.971127986138,652.981509955119,629.844899962668,572.428404887269,559.356098816764,641.51854180018,636.941443506068,595.1687693338,633.914133595189,509.040810911506
"Tbc1d19",470.333126940812,539.867591528024,441.669187918792,452.837636987911,391.518850781264,520.905961825038,426.999045847492,502.544865331911,485.840725829418,525.454331935016,465.571506139739,451.887398938626,483.920633936224,456.926943615264
"Tbc1d2",81.4038104320636,90.8095209409431,143.584469836718,94.2209945325165,206.876627326396,99.3208121938207,149.151363319982,135.656282666283,186.452032938921,179.371960700708,215.945932635028,171.336463899124,206.92533894558,212.177888277556
