"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000138617.16",-0.0282869894991615,0.527587242032088,0.674471854952062,"PARP16"
"ENSG00000214855.9",-0.0282896012292451,0.527549108752436,0.674453415524423,"APOC1P1"
"ENSG00000225557.1",-0.0282912912078808,0.52752443450376,0.674439486990971,"MTCO3P20"
"ENSG00000261456.6",-0.028292028924165,0.527513663785275,0.674439486990971,"TUBB8"
"ENSG00000215424.10",-0.0282962993269344,0.527451317750345,0.674419323986299,"MCM3AP-AS1"
"ENSG00000256103.2",-0.028304024179748,0.527338547757742,0.674305441251011,"ATP5MFP5"
"ENSG00000143322.21",-0.0283041323678324,0.527336968478869,0.674305441251011,"ABL2"
"ENSG00000249072.1",-0.0283115318778399,0.52722895961378,0.674225925494095,"AC114801.3"
"ENSG00000091527.16",-0.0283151817960667,0.527175686781269,0.674188107717912,"CDV3"
"ENSG00000272750.1",-0.0283179083449881,0.527135892886441,0.674152370498321,"AL592148.3"
"ENSG00000284680.1",-0.0283183912185037,0.52712884552212,0.674152370498321,"OR8B2"
"ENSG00000275961.1",-0.0283224465887354,0.527069660752036,0.674113126568927,"RN7SL210P"
"ENSG00000055957.11",-0.0283232559415208,0.527057849323121,0.674113126568927,"ITIH1"
"ENSG00000261127.2",-0.0283259203916884,0.527018966163345,0.674081429309646,"AC133548.2"
"ENSG00000160349.10",-0.0283265806741469,0.527009330679318,0.674081429309646,"LCN1"
"ENSG00000259392.2",-0.0283278652305303,0.526990585439652,0.674081429309646,"AC090877.1"
"ENSG00000101158.15",-0.0283310587503344,0.526943984600431,0.674058461099746,"NELFCD"
"ENSG00000170743.17",-0.028331338701935,0.526939899559142,0.674058461099746,"SYT9"
"ENSG00000266774.1",-0.0283317908575538,0.526933301758521,0.674058461099746,"AC116003.2"
"ENSG00000276710.4",-0.0283331297736392,0.526913764701973,0.674058461099746,"CSPG4P10"
"ENSG00000217178.1",-0.028339497803398,0.526820849393635,0.674009040450487,"AL357563.1"
"ENSG00000125352.6",-0.0283433997345186,0.526763920813497,0.673994821698915,"RNF113A"
"ENSG00000278531.1",-0.0283481324736392,0.526694875073994,0.673936790760514,"AL512324.6"
"ENSG00000258591.2",-0.0283491473512907,0.526680069664937,0.673933003541165,"PPIAP4"
"ENSG00000276601.1",-0.0283497415913354,0.526671400770598,0.673933003541165,"Metazoa_SRP"
"ENSG00000257503.1",-0.0283565957541438,0.526571416104116,0.673839438053296,"CYB5AP5"
"ENSG00000256148.1",-0.0283623457356819,0.526487546067369,0.673747266148069,"AP000763.2"
"ENSG00000008838.20",-0.0283686579020115,0.526395483757761,0.673659759254776,"MED24"
"ENSG00000226647.2",-0.0283714099826636,0.526355347505612,0.673625227061819,"AL365356.1"
"ENSG00000234296.1",-0.0283770865500754,0.526272565559944,0.67357821134287,"AL390961.1"
"ENSG00000278771.1",-0.0283775882801048,0.526265249100161,0.67357821134287,"RN7SL3"
"ENSG00000199564.1",-0.0283789981269306,0.526244690337809,0.673572840050146,"RNA5SP502"
"ENSG00000209042.1",-0.028379808665401,0.526232871034924,0.673572840050146,"SNORD12C"
"ENSG00000224416.2",-0.028395667589111,0.526001642815521,0.673367793184453,"IFNA22P"
"ENSG00000225053.1",-0.0283958810380828,0.525998531013876,0.673367793184453,"PRPF38AP1"
"ENSG00000233708.1",-0.0283990801470491,0.525951893391079,0.673334407531472,"AL512353.2"
"ENSG00000277618.1",-0.0284047412467682,0.52586936925258,0.673262259949626,"AL627230.2"
"ENSG00000250326.2",-0.028411877216755,0.525765354737827,0.673186486183985,"AC104596.1"
"ENSG00000237768.2",-0.0284186272046332,0.525666975984874,0.673121117819209,"AL731563.2"
"ENSG00000271163.1",-0.0284186821119171,0.525666175768571,0.673121117819209,"AC004840.2"
"ENSG00000275670.1",-0.0284229146447729,0.525604492893033,0.673081372153322,"MIR8076"
"ENSG00000241746.1",-0.0284285572683142,0.525522265781774,0.673024484082845,"AC104212.3"
"ENSG00000286772.1",-0.0284291144235661,0.525514146994735,0.673024484082845,"AC009410.1"
"ENSG00000264037.1",-0.0284327009342696,0.525461886402338,0.672979674555136,"MIR4472-2"
"ENSG00000267370.1",-0.0284327712412897,0.525460861954952,0.672979674555136,"AC008752.3"
"ENSG00000265347.1",-0.0284381029501035,0.525383176305708,0.672909163655124,"MIR4291"
"ENSG00000207449.1",-0.0284417014570187,0.525330747581596,0.672857160723109,"RNU6-19P"
"ENSG00000249892.1",-0.0284478534149891,0.525241122337158,0.672757512115087,"AC093857.1"
"ENSG00000002919.15",-0.0284494936320471,0.525217228033632,0.67274205269418,"SNX11"
"ENSG00000235146.2",-0.0284501477661953,0.525207698913031,0.67274205269418,"AC114498.1"
"ENSG00000214807.2",-0.0284514222021974,0.525189133778222,0.67274205269418,"NPM1P31"
"ENSG00000273481.1",-0.0284519466560624,0.525181493980888,0.67274205269418,"AL391069.2"
"ENSG00000240432.3",-0.0284544116936658,0.525145586171661,0.67274205269418,"KRTAP13-3"
"ENSG00000248971.2",-0.0284555252680088,0.525129365322774,0.67274205269418,"KRT8P46"
"ENSG00000042088.14",-0.0284556117735227,0.525128105253377,0.67274205269418,"TDP1"
"ENSG00000257735.1",-0.0284577560284802,0.525096871783094,0.672739350245582,"AC090115.1"
"ENSG00000264837.1",-0.0284608172268651,0.525052283649581,0.672697373635896,"VN1R71P"
"ENSG00000207345.1",-0.0284631336978149,0.525018544188253,0.672669294775415,"RNU6-1222P"
"ENSG00000249321.1",-0.0284632732940658,0.525016511000475,0.672669294775415,"OR5H5P"
"ENSG00000284546.1",-0.0284703616686563,0.524913275712576,0.6725925561751,"SSU72P3"
"ENSG00000242113.3",-0.0284714652524609,0.524897204019045,0.672589563699449,"RN7SL124P"
"ENSG00000202184.1",-0.0284808833749457,0.524760056391621,0.672444116588326,"RNU6-1283P"
