"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000227011.4",0.117435107304055,0.00851096684485232,0.0256743820099809,"C3orf86"
"ENSG00000241943.2",0.117431162980864,0.00851319570278772,0.0256797461270803,"AC091074.1"
"ENSG00000244307.3",0.117429203071407,0.0085143034018197,0.0256817279201254,"RPL12P31"
"ENSG00000230484.2",0.117426237194008,0.00851597989681272,0.0256854250741206,"SRMP3"
"ENSG00000256603.1",0.117422509280091,0.00851808755877375,0.0256904222297405,"LYN"
"ENSG00000266995.1",0.117414570520338,0.00852257746897921,0.025699145337857,"IGHV1OR16-1"
"ENSG00000279358.1",0.117414459734954,0.0085226401405951,0.025699145337857,"MRPL57P1"
"ENSG00000288102.1",0.11741420561108,0.00852278390076489,0.025699145337857,"FAM237B"
"ENSG00000267496.4",0.117412300873537,0.00852386149681463,0.0256996746891367,"AC005695.1"
"ENSG00000278995.1",0.117397589388028,0.00853218854113947,0.0257234198551676,"AC092954.2"
"ENSG00000240265.1",0.117393125435064,0.00853471667634837,0.0257283192749448,"TUBAP1"
"ENSG00000177338.14",0.117390814089027,0.00853602595683273,0.0257306330383048,"ACER2"
"ENSG00000252145.1",0.117386792092828,0.00853830467565459,0.025735050977174,"AC113430.1"
"ENSG00000270175.1",0.117383020730112,0.00854044188713171,0.0257398751546874,"LRRC37A7P"
"ENSG00000165695.10",0.11738237356046,0.00854080868271308,0.0257398751546874,"FAAH2"
"ENSG00000258018.2",0.117381442505737,0.00854133640013343,0.0257399173193635,"AL035078.3"
"ENSG00000205181.7",0.117380754936797,0.00854172612961942,0.0257399173193635,"PBX2"
"ENSG00000170683.6",0.117376542143583,0.00854411438135829,0.0257457525946154,"KRT72"
"ENSG00000233128.2",0.117374316502854,0.00854537634754622,0.0257481936259072,"AC020743.2"
"ENSG00000251309.1",0.117353017488802,0.00855746156102969,0.0257818810981353,"MTND3P25"
"ENSG00000198840.2",0.117343226248588,0.00856302229065226,0.0257951005425729,"AC135895.1"
"ENSG00000261730.1",0.117342900377597,0.0085632074176183,0.0257951005425729,"AL049836.2"
"ENSG00000286018.1",0.117341652607382,0.00856391630754249,0.0257953921119765,"AC010332.2"
"ENSG00000232290.1",0.117334517780488,0.00856797078853109,0.0258039927854804,"AC068580.2"
"ENSG00000255968.1",0.1173235345866,0.00857421551055346,0.0258214351253552,"AC090136.2"
