"sample_full","sample","PIP5K1A","subtype_code","subtype","median_cutoff","expr_group"
"TCGA-YB-A89D-01A-12R-A36G-07","TCGA-YB-A89D",10.8783097822864,2,"Classical-like",11.2043363275436,"Low"
"TCGA-S4-A8RP-01A-11R-A36G-07","TCGA-S4-A8RP",11.1779812084345,2,"Classical-like",11.2043363275436,"Low"
"TCGA-FB-AAPQ-01A-11R-A41B-07","TCGA-FB-AAPQ",11.7666948355328,2,"Classical-like",11.2043363275436,"High"
"TCGA-LB-A8F3-01A-11R-A36G-07","TCGA-LB-A8F3",11.7690227049941,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-7888-01A-11R-2156-07","TCGA-IB-7888",11.6668634036769,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-AAUP-01A-11R-A37L-07","TCGA-IB-AAUP",10.9183264660519,2,"Classical-like",11.2043363275436,"Low"
"TCGA-RB-A7B8-01A-12R-A33R-07","TCGA-RB-A7B8",10.921375632393,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-A5ST-01A-11R-A32O-07","TCGA-IB-A5ST",11.2584265039199,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-AAUM-01A-11R-A37L-07","TCGA-IB-AAUM",11.0515322737845,2,"Classical-like",11.2043363275436,"Low"
"TCGA-US-A779-01A-11R-A32O-07","TCGA-US-A779",11.0641913247975,2,"Classical-like",11.2043363275436,"Low"
"TCGA-2J-AABV-01A-12R-A41B-07","TCGA-2J-AABV",10.0931369025444,2,"Classical-like",11.2043363275436,"Low"
"TCGA-2J-AABA-01A-21R-A41B-07","TCGA-2J-AABA",11.2485339923384,2,"Classical-like",11.2043363275436,"High"
"TCGA-US-A77G-01A-11R-A32O-07","TCGA-US-A77G",11.1219009111327,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-7644-01A-11R-2156-07","TCGA-IB-7644",10.9359797443251,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HV-A5A6-01A-11R-A26U-07","TCGA-HV-A5A6",11.1841478901927,2,"Classical-like",11.2043363275436,"Low"
"TCGA-F2-A44H-01A-11R-A26U-07","TCGA-F2-A44H",11.2682344578518,2,"Classical-like",11.2043363275436,"High"
"TCGA-OE-A75W-01A-12R-A32O-07","TCGA-OE-A75W",10.5507971421662,2,"Classical-like",11.2043363275436,"Low"
"TCGA-US-A776-01A-13R-A33R-07","TCGA-US-A776",10.5239009577661,2,"Classical-like",11.2043363275436,"Low"
